L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Banana Flower - Organically Grown (Loose), 1 pc","Banana flower, also known as banana blossom, is a tear-shaped maroon or purplish flower hanging at the end of banana clusters grows on the end of the stem holding a cluster of bananas. The edible flower has a unique and excellent taste rich in nutrients. With every purple outer sheath removed it has anthers which are edible. We selectively pick organically grown banana flower from the best farms.",1 pc,pc,1 pc,1,1,44.08,33.5,Fresho,India,['40036723'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40036723_3-fresho-banana-flower-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40036723-2_1-fresho-banana-flower-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40036723-3_1-fresho-banana-flower-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40036723-4_1-fresho-banana-flower-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Banana blossoms reduce menstrual bleeding. They help reduce diabetes and anemia and are a rich source of vitamins and minerals.,-,"[{'EAN Code': '40036723'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Banana Stem - Organically Grown (Loose), 1 pc","Banana Stem is the fibrous stalk of the banana plant. It has high water content, fresh and crispy textured stalks with mild taste. Fresho stem grade bananas are offered in a pristine condition and are tasty and nutritious. We selectively pick stems of organically grown banana stem from the best farms.",1 pc,pc,1 pc,1,1,31.58,24,Fresho,India,['40036724'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40036724_4-fresho-banana-stem-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40036724-2_1-fresho-banana-stem-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40036724-3_1-fresho-banana-stem-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40036724-4_1-fresho-banana-stem-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Banana stem's high fiber content cleanses the digestive system, which in turn keeps many diseases away. Banana stem juice is traditionally used to cure kidney stones and urinary tract infections. Also, beneficial for weight loss.",-,"[{'EAN Code': '40036724'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Beans - Broad, Organically Grown (Loose), 1 kg","Fresho Organic products are organically grown and handpicked by expert.
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",1 kg,kg,1 kg,1,1,71.71,54.5,Fresho,India,['40047587'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40047587_3-fresho-beans-broad-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40047587-2_1-fresho-beans-broad-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40047587'}, {'Country of origin': 'India'}]",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Beans - Broad, Organically Grown (Loose), 1 kg","Fresho Organic products are organically grown and handpicked by expert.
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",1 kg,kg,1 kg,1,1,71.71,54.5,Fresho,India,['40047587'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40047587_3-fresho-beans-broad-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40047587-2_1-fresho-beans-broad-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40047587'}, {'Country of origin': 'India'}]",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Beans - Organically Grown (Loose), 250 g","French beans are smaller than common green beans and have a soft, velvety pod. Quite fleshy for their size, only tiny seeds inhabit these delicate pods. French beans are sweet, tender and wonderfully crispy. Due to naturally growing methods, they are free from chemical residues. They are used in curries, soups, stir-fry with rice, noodles and salads.",250 g,g,250 g,1,1,23.36,17.75,Fresho,India,['50000461000'],-,https://datalabs.siva3.io/image/Eunimart_groceries_50000461_6-fresho-beans-french-ring-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000461-2_1-fresho-beans-french-ring-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000461-3_1-fresho-beans-french-ring-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000461-4_1-fresho-beans-french-ring-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000461-5_1-fresho-beans-french-ring-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '50000461000'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Beans - Organically Grown (Loose), 250 g","French beans are smaller than common green beans and have a soft, velvety pod. Quite fleshy for their size, only tiny seeds inhabit these delicate pods. French beans are sweet, tender and wonderfully crispy. Due to naturally growing methods, they are free from chemical residues. They are used in curries, soups, stir-fry with rice, noodles and salads.",250 g,g,250 g,1,1,23.36,17.75,Fresho,India,['50000461000'],-,https://datalabs.siva3.io/image/Eunimart_groceries_50000461_6-fresho-beans-french-ring-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000461-2_1-fresho-beans-french-ring-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000461-3_1-fresho-beans-french-ring-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000461-4_1-fresho-beans-french-ring-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000461-5_1-fresho-beans-french-ring-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '50000461000'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Beans - Organically Grown (Loose), 500 g","These are organically grown, hence, free from chemical residues. They are used in curries, soups, stir-fry with rice, noodles and salads.",500 g,g,500 g,1,1,46.71,35.5,Fresho,India,['40023469'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40023469_7-fresho-beans-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40023469-2_1-fresho-beans-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40023469'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Beetroot - Organically Grown (Loose), 500 g","It Is Organically Grown And Handpicked From Farm
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",500 g,g,500 g,1,1,24.67,18.75,Fresho,India,['40022635'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40022635_5-fresho-beetroot-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40022635-2_1-fresho-beetroot-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40022635-4_1-fresho-beetroot-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40022635'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Beetroot - Organically Grown (Loose), 500 g","It Is Organically Grown And Handpicked From Farm
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",500 g,g,500 g,1,1,24.67,18.75,Fresho,India,['40022635'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40022635_5-fresho-beetroot-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40022635-2_1-fresho-beetroot-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40022635-4_1-fresho-beetroot-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40022635'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Beetroot - Organically Grown (Loose), 500 g","It Is Organically Grown And Handpicked From Farm
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",500 g,g,500 g,1,1,24.67,18.75,Fresho,India,['40022635'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40022635_5-fresho-beetroot-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40022635-2_1-fresho-beetroot-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40022635-4_1-fresho-beetroot-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40022635'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
