Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Colour Shade Name,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Pack Size,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image,Image,Image,Image,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Hair Thickness,Sustainable,Type,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00074927,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner for Oily Hair 650ml,Green,,600 ML & Above,1,Biotique,520,364,Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner for Oily Hair & Scalp,,,1,Units,Single,,"Indiflashmart, Bio Veda Action Research Company, Khasra no 439/42, 441/43, 526/442/43, Mauja Rampur Ghat, Tehsil Poanta Sahib, Dist-Sirmour,Pin ? 173025 (H.P.)",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiotiqueBioGreenAppleFreshDailyPurifyingShampoo&ConditionerforOilyHair650ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiotiqueBioGreenAppleFreshDailyPurifyingShampoo&ConditionerforOilyHair650ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiotiqueBioGreenAppleFreshDailyPurifyingShampoo&ConditionerforOilyHair650ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiotiqueBioGreenAppleFreshDailyPurifyingShampoo&ConditionerforOilyHair650ml_4.jpg,,,,(N),(Y),(N),,,,,Daily Use,,,,,,,,Daily,"Green,Fresh",Regular,,Regular,Shampoo and Conditioner,,,,,,,,,,,,,
EU00074928,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Smooth and Serene Conditioner with Argan Oil &lavender 200ml,Lavender,,190-200 ML,1,Love Beauty & Planet,400,400,Smooth and Serene Conditioner with Argan Oil & Lavender,,,1,Units,Single,,"Supercom Net, Hindustan Unilever Limited, MFG. BY L.B.C.P., UNIT II,HARIDWAR 249 403, UTTARAKHAND. M 16/C/UA/2010",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LoveBeauty&PlanetSmoothandSereneConditionerwithArganOil&Lavender200ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LoveBeauty&PlanetSmoothandSereneConditionerwithArganOil&Lavender200ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LoveBeauty&PlanetSmoothandSereneConditionerwithArganOil&Lavender200ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LoveBeauty&PlanetSmoothandSereneConditionerwithArganOil&Lavender200ml_4.jpg,,,,(N),(Y),(N),,,,,Anti-Frizz,Argan Oil,,,Paraben-Free,Oil,,,,,Normal,Normal,Regular,Conditioner,,,,,,,,,,,,,
EU00074929,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Smooth Proof Camellia Shampoo for Frizzy Hair - 200ml,,,190-200 ML,1,Biolage,225,225,Smooth Proof Camellia Shampoo for Frizzy Hair,,,1,Units,Single,,"Supercom Net, LOREAL INDIA PVT. LTD., CHAKAN, PUNE-410 501, M. LIC. NO.: MPD/C-44. N) PRITAM INTERNATIONAL PVT. LTD., K. NO. 138, RAIPUR INDUSTRIAL AREA, ROORKEE247667,UTTARAKHAND",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiolageSmoothProofCamelliaShampooforFrizzyHair-200ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiolageSmoothProofCamelliaShampooforFrizzyHair-200ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiolageSmoothProofCamelliaShampooforFrizzyHair-200ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiolageSmoothProofCamelliaShampooforFrizzyHair-200ml_4.jpg,,,,(N),(Y),(N),,,,,Anti-Frizz,Camellia,,,Paraben-Free,,,,,,Regular,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074930,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Smooth Proof Camellia Shampoo for Frizzy Hair - 400ml,,,400ml,1,Biolage,420,420,Smooth Proof Camellia Shampoo for Frizzy Hair,,,1,Units,Single,,"Supercom Net, LOREAL INDIA PVT. LTD., CHAKAN, PUNE-410 501, M. LIC. NO.: MPD/C-44. N) PRITAM INTERNATIONAL PVT. LTD., K. NO. 138, RAIPUR INDUSTRIAL AREA, ROORKEE247667,UTTARAKHAND",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiolageSmoothProofCamelliaShampooforFrizzyHair-400ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiolageSmoothProofCamelliaShampooforFrizzyHair-400ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiolageSmoothProofCamelliaShampooforFrizzyHair-400ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiolageSmoothProofCamelliaShampooforFrizzyHair-400ml_4.jpg,,,,(N),(Y),(N),,,,,Anti-Frizz,Camellia,,,Paraben-Free,,,,,,Regular,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074931,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Set of Onion Shampoo & Conditioner with Moringa & Wheat Grass - 200ml each,,,200ML,1,Kalit Natures,850,680,Set of Onion Shampoo & Conditioner with Moringa & Wheat Grass,,,2,Units,Bundle,,"kalit natures, Plot no 4 Ocean Biocare Pharmaceuticals, sec- 48 Fajilpur,Gurugram Haryana-122114",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14KalitNaturesSetofOnionShampoo&ConditionerwithMoringa&WheatGrass-200mleach_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14KalitNaturesSetofOnionShampoo&ConditionerwithMoringa&WheatGrass-200mleach_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14KalitNaturesSetofOnionShampoo&ConditionerwithMoringa&WheatGrass-200mleach_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14KalitNaturesSetofOnionShampoo&ConditionerwithMoringa&WheatGrass-200mleach_4.jpg,,,,(N),(Y),(N),,,,,Thinning and Hair Fall,Onion,,,Herbal,,,,,,Regular,Fine,Regular,Shampoo and Conditioner,,,,,,,,,,,,,
EU00074932,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Paris Fall Repair 3X Anti-Hair Fall Conditioner 175ml,,,190-200 ML,1,LOreal,229,167,Fall Repair 3X Anti-Hair Fall Conditioner,,,1,Units,Single,,"Omnitech Retail, Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee, Uttarakhand - 247667",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisFallRepair3XAnti-HairFallConditioner175ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisFallRepair3XAnti-HairFallConditioner175ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisFallRepair3XAnti-HairFallConditioner175ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisFallRepair3XAnti-HairFallConditioner175ml_4.jpg,,,,(N),(Y),(N),,,,,Thinning and Hair Fall,,,,,,,,,,Regular,Normal,Regular,Conditioner,,,,,,,,,,,,,
EU00074933,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,ProPure Moisture Boost Shampoo with Aloe Essence - 390ml,,,350-400 ML,1,TRESemme,500,340,ProPure Moisture Boost Shampoo with Aloe Essence,,,1,Units,Single,,"RetailNet, L.B.C.P., UNIT II, HARIDWAR 249 403, UTTARAKHAND",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeProPureMoistureBoostShampoowithAloeEssence-390ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeProPureMoistureBoostShampoowithAloeEssence-390ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeProPureMoistureBoostShampoowithAloeEssence-390ml_3.jpg,,,,,(N),(Y),(N),,,,,Damaged,Aloe Vera,,,Paraben-Free,,,,,,Normal,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074934,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Unisex bio:renew Repair Argan Oil of Morocco Conditioner 400ml,Multi,,350-400 ML,1,Herbal Essences,600,390,"What it is 
bio:renew Repair Argan Oil of Morocco Conditioner

What it does
Repair damaged hair with Herbal Essences bio:renew Argan Oil of Morocco Conditioner to leave it smoother and softer.
Crafted with bio:renew, our signature blend of essential antioxidants, aloe and sea kelp, Argan Oil of Morocco Conditioner will leave your hair shining brighter, feeling repaired, and having freedom from frizz to bring it back to life in just 21 days.
Free of parabens, gluten and colorants, from the first pop of the cap, it will take you on a multi-layered scent experience to the warm sands of Morocco.
Immerse yourself in the scent of creamy vanilla followed by a burst of fizzy citrus and lingering exotic spices",,,1,Units,Single,,"Supercom Net, Procter & Gamble, P&G Plaza, Cardinal Gracious Road, Andheri, 400099, Mumbai Maharashtra",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14HerbalEssencesUnisexbio:renewRepairArganOilofMoroccoConditioner400ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14HerbalEssencesUnisexbio:renewRepairArganOilofMoroccoConditioner400ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14HerbalEssencesUnisexbio:renewRepairArganOilofMoroccoConditioner400ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14HerbalEssencesUnisexbio:renewRepairArganOilofMoroccoConditioner400ml_4.jpg,,,,(N),(Y),(N),,,,Unisex,Damaged,"Antioxidants,Argan Oil",,,Herbal,Oil,Herbal,,,Citrus,Damaged Hair,,,Conditioner,,,,,,,,,,,,,
EU00074935,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Childrens Shampoo 150ml,,,100-150 ML,1,Sebamed,427,362,"What it is?
Sebamed children's shampoo has pH of 5.5 and has sugar based mild cleanser. Other children shampoos have pH>7 and chemicals like formaldehyde, phthalates, SLS which leads to allergic reactions. At pH 5.5 alone the scalp barrier remains intact. It has been clinically proven that only at pH 5.5, scalp is hydrated and strengthens scalp for optimal hair growth. Lipid and moisture loss is minimum and the growth of Malassezia which leads to dandruff is restricted.

What it does?
Sebamed children's shampoo is free from irritants and hence has 0% incidences of irritant reactions. Sebamed children's shampoo contains botanical ingredient, hence the reported incidence of allergic reaction is 0.000003%.Only at pH5.5 the baby's delicate eyes are not irritated and the tear free formula is free from formaldehyde.

Features:
Sebamed children's shampoo is ideal for cradle cap, seborrheic dermatitis and dandruff.
Especially mild cleansers for gentle cleansing without irritating the scalp or hair
Herbal extract of chamomile alleviates irritation and soothes the skin
Special no tears formula does not sting in the eyes
Leaves hair fragrant and silky
Pleasant botanical fragranceIdeal from six month onwards
Clinically proven Suitability for cleansing of hair and scalp in babies and infants with sensitive scalp was proven in the dermatological study.",,,1,Units,Single,,"Flashstar Commerce, -",Germany,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14SebamedChildrensShampoo150ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14SebamedChildrensShampoo150ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14SebamedChildrensShampoo150ml_3.jpg,,,,,(N),(Y),(N),,,,,Daily Use,Chamomile,,,"Clinically Proven,Herbal",,"Clinically Proven,Herbal",,,,Regular,,,Shampoo,,,,,,,,,,,,,
EU00074936,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Paris Extraordinary Clay Purifying & Hydrating Shampoo 75ml,Blue,,80-90 ML,1,LOreal,79,61,"LOreal Paris Unisex Extraordinary Clay Purifying & Hydrating Shampoo

WHAT IT IS:
The secret of clay for 72 hrs of pure roots and hydrated ends. For the first time, L'Oreal Paris Laboratories have combined 3 refined clays to create its first re-balancing range revealing perfectly balanced hair.Enriched with extraordinary power of clay that deeply purifies and hydrates your hair. Tailor made care to resolve the problems of oily roots and dry lengths. Scalp and hair feel fresh and clean even 3 days after shampoo. For best results, indulge in the full Extraordinary
Clay ritual: Shampoo, Conditioner and Hair Refresher.

WHAT IT DOES:
Ultra Purifying : Washes off excess oil on scalp and roots. Helps eliminate impurities & pollution particles.
Intensely Hydrating : Moisturises from lengths to tips for hydrated free flowing hair, leaving hair fresh for upto 72 hours.
Scalp feels deeply purified for 72 hours with freshness and light, lifted roots.
Dry hair feels hydrated right to the ends for fluid, free-flowing lengths.
Revitalises the hair with softness, shine and bounce.
A delicate Clay texture for hair purity, hydration and beauty.
Ingredients
Aqua / Water / Eau, Sodium Laureth Sulfate, Coco-Betaine, Glycol Distearate, Sodium Chloride, Ppg-5-Ceteth-20, Parfum / Fragrance, Sodium Benzoate, Octyldodecanol, Salicylic Acid, Guar Hydroxypropyltrimonium Chloride, Carbomer, Linalool, Hexyl Cinnamal, Benzyl Alcohol, Benzyl Salicylate, Citronellol, Argilla / Magnesium Aluminum Silicate, Kaolin, Montmorillonite, Geraniol, Alpha-Isomethyl Ionone, Fumaric Acid, Sodium Hyaluronate, Ci 42090 / Blue 1, Sodium Hydroxide, Citric Acid

L'Oreal Paris laboratories have infused the extraordinary power of pure clay in a conditioner. Anti-oiliness. Fresh, healthy looking hair. Soft, free flowing hair. Ultra purifying washes off excess oil on scalp, roots, and helps eliminate impurities and pollution particles. Intensely hydrating moisturizes from lengths to tips for hydrated free flowing hair, leaving hair fresh for up to 72 hours. Enriched with extraordinary power of clay that deeply purifies and detangles your hair. Tailor made care to resolve the problems of oily roots and dry lengths. Hair feels pure, soft, and shiny and hydrated when used with the extraordinary clay shampoo. For best results, indulge in the full extraordinary clay ritual shampoo, conditioner and hair refresher.

Dry hair, meet your match. L'Oreal Paris offers hair shampoo & conditioners for every concern and hair type. Whether you're looking to moisturize dry hair, want a conditioner for colored hair, or want to help repair damaged hair, we have the hair conditioner--and complementary shampoo--that best fits your needs!. Infused The Extraordinary Power Of Pure Clay . Purifies Oily Roots And Hydrates Dry Lengths
. For Best Results, Indulge In The Full Extraordinary Clay Ritual Shampoo, Conditioner And Hair Refresher.",,,1,Units,Single,,"Omnitech Retail, LOreal India Pvt Ltd., Chakan, Pune - 410501",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisExtraordinaryClayPurifying&HydratingShampoo75ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisExtraordinaryClayPurifying&HydratingShampoo75ml_2.jpg,,,,,,(N),(Y),(N),,,,Unisex,Daily Use,"Salicylic Acid,Clay",,,Salicylic Acid,Oil,Salicylic Acid,,,Fresh,Dry Hair,,,Shampoo,Hydrating,,,,,,,,,,,,
EU00074937,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Men Daily Detox Shampoo with Charcoal & Coconut Oil - 250ml,,,240-260 ML,1,HIVADO,550,550,Men Daily Detox Shampoo with Charcoal & Coconut Oil,,,1,Units,Single,,"NAVO LIFESTYLE PRIVATE LIMITED, Arius Formulation, R.S. No. 141/1, Plot No. 38 & 47, Navarkulam Main Road, Pattanur, Auroville (Post), Tamil Nadu Auroville Post Villupuram TN 605101 IN",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14HIVADOMenDailyDetoxShampoowithCharcoal&CoconutOil-250ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14HIVADOMenDailyDetoxShampoowithCharcoal&CoconutOil-250ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14HIVADOMenDailyDetoxShampoowithCharcoal&CoconutOil-250ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14HIVADOMenDailyDetoxShampoowithCharcoal&CoconutOil-250ml_4.jpg,,,,(N),(Y),(N),,,,Men,Dandruff,Coconut,,,Sulfate-Free,Oil,,,Daily,,Normal,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074938,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Scalp Advanced Density Advanced Shampoo - 300ml,,,300-350 ML,1,LOreal Professionnel,695,695,Scalp Advanced Density Advanced Shampoo,,,1,Units,Single,,"Indiflashmart, LOreal India Pvt Ltd. L'OREAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. Pritam International Pvt. Ltd., K.No.138, Raipur Industrial Area, Roorkee 247667, Uttarakhand.",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelScalpAdvancedDensityAdvancedShampoo-300ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelScalpAdvancedDensityAdvancedShampoo-300ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelScalpAdvancedDensityAdvancedShampoo-300ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelScalpAdvancedDensityAdvancedShampoo-300ml_4.jpg,,,,(N),(Y),(N),,,,,Volumizing,,,,Dermatologically Tested,,,,,,Damaged Hair,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074939,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Unisex Anti-Dandruff & Anti-Hairfall Shampoo 650ml,,,600 ML & Above,1,Head & Shoulders,699,699,Anti-Dandruff & Anti-Hairfall Shampoo,,,1,Units,Single,,"Supercom Net, Procter Gamble, PG Plaza, Cardinal Gracious Road, Andheri, 400099, Mumbai Maharashtra",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14Head&ShouldersUnisexAnti-Dandruff&Anti-HairfallShampoo650ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14Head&ShouldersUnisexAnti-Dandruff&Anti-HairfallShampoo650ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14Head&ShouldersUnisexAnti-Dandruff&Anti-HairfallShampoo650ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14Head&ShouldersUnisexAnti-Dandruff&Anti-HairfallShampoo650ml_4.jpg,,,,(N),(Y),(N),,,,Unisex,Dandruff,,,,,,,,,,Regular,,Regular,Shampoo,,,,,,,,,,,,,
EU00074940,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Hair Therapy Daily Shine Shampoo for Dull Hair - 340ml,,,300-350 ML,1,Dove,345,258,Hair Therapy Daily Shine Shampoo for Dull Hair,,,1,Units,Single,,"Truecom Retail, Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Andheri (E), Mumbai 400099",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14DoveHairTherapyDailyShineShampooforDullHair-340ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14DoveHairTherapyDailyShineShampooforDullHair-340ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14DoveHairTherapyDailyShineShampooforDullHair-340ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14DoveHairTherapyDailyShineShampooforDullHair-340ml_4.jpg,,,,(N),(Y),(N),,,,,Dullness,,,,Dermatologically Tested,,,,Daily,,Dull Hair,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074941,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Fructis Hair Food - Nourishing Banana Shampoo For Dry Hair 350ml,,,300-350 ML,1,Garnier,549,439,Fructis Nourishing Shampoo For Dry Hair Deep Nutrition Banana Hair Food- 350ml,,,1,Units,Single,,"RetailNet, LOreal Saipo Industriale S.P.A, Strada Cebrosa, 52/56, 10036 Settimo Torinese (To), Italy",Italy,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14GarnierFructisHairFood-NourishingBananaShampooForDryHair350ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14GarnierFructisHairFood-NourishingBananaShampooForDryHair350ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14GarnierFructisHairFood-NourishingBananaShampooForDryHair350ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14GarnierFructisHairFood-NourishingBananaShampooForDryHair350ml_4.jpg,,,,(N),(Y),(N),,,,,Split Ends,Banana,,,Cruelty-Free,,,,,,Dry Hair,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074942,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Ayurvedic Coconut Conditioner 200ml,,,200-220 ML,1,Nuskhe by Paras,699,699,Ayurvedic Coconut Conditioner 200 ml,,,1,Units,Single,,"NATURE TOUCH NUTRITION, NATURES BOON THAKKARWAL ADJOINING BRITANNICA INTERNATIONAL CHOOL PAKHOWAL ROAD LUDHIANA 141015",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14NuskhebyParasAyurvedicCoconutConditioner200ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14NuskhebyParasAyurvedicCoconutConditioner200ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14NuskhebyParasAyurvedicCoconutConditioner200ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14NuskhebyParasAyurvedicCoconutConditioner200ml_4.jpg,,,,(N),(Y),(N),,,,,Anti-Frizz,Coconut,,,Sulfate-Free,,,,,,Dry Hair,Normal,Regular,Conditioner,,,,,,,,,,,,,
EU00074943,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Paris Color Protect Shampoo - 192.5ml,,,192.5ml,1,LOreal,209,163,L'Oreal Paris Color Protect Shampoo,,,1,Units,Single,,"Omnitech Retail, Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee, Uttarakhand - 247667",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisColorProtectShampoo-192.5ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisColorProtectShampoo-192.5ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisColorProtectShampoo-192.5ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisColorProtectShampoo-192.5ml_4.jpg,,,,(N),(Y),(N),,,,,Colour Protection,,,,,,,,,,Coloured Hair,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074944,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Bringha Shampoo for Hairfall - 580ml,,,500-600 ML,1,indulekha,666,499,Bringha Shampoo for Hairfall,,,1,Units,Single,,"Supercom Net, Herbal Concepts Health Care Pvt. Ltd, Plot no 2, Sector 1-A, Sidcul, Ranipur, Haridwar, Uttarakhand - 249403",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaBringhaShampooforHairfall-580ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaBringhaShampooforHairfall-580ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaBringhaShampooforHairfall-580ml_3.jpg,,,,,(N),(Y),(N),,,,,Thinning and Hair Fall,Bhringraj,,,Dermatologically Tested,,,,,,Normal,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074945,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Bio Thyme Volume Sustainable Conditioner for Fine & Thinning Hair 180ml,,,150-180 ML,1,Biotique,175,127,Bio Thyme Volume Conditioner for Fine & Thinning Hair,,,1,Units,Single,,"Indiflashmart, Bio Veda Action Research Company, Khasra no 439/42, 441/43, 526/442/43, Mauja Rampur Ghat, Tehsil Poanta Sahib, Dist-Sirmour,Pin ? 173025 (H.P.)",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiotiqueBioThymeVolumeSustainableConditionerforFine&ThinningHair180ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiotiqueBioThymeVolumeSustainableConditionerforFine&ThinningHair180ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14BiotiqueBioThymeVolumeSustainableConditionerforFine&ThinningHair180ml_3.jpg,,,,,(N),(Y),(N),,,,,Daily Use,,,,,,,,,,Damaged Hair,,Sustainable,Conditioner,,,,,,,,,,,,,
EU00074946,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Unisex Climate Control Conditioner 190ml,,,180-190 ML,1,TRESemme,229,187,TRESemme Climate Control conditioner,,,1,Units,Single,,"RetailNet, Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Andheri (E), Mumbai 400099",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeUnisexClimateControlConditioner190ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeUnisexClimateControlConditioner190ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeUnisexClimateControlConditioner190ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeUnisexClimateControlConditioner190ml_4.jpg,,,,(N),(Y),(N),,,,Unisex,Anti-Pollution,,,,Dermatologically Tested,,,,,,Normal,Normal,Regular,Conditioner,,,,,,,,,,,,,
