Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Colour Shade Name,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Pack Size,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image,Image,Image,Image,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Hair Thickness,Sustainable,Type,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00074793,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,GK Hair Set of Hair Taming System Proline Global Keratin Shampoo & Conditioner with Serum,,,600 ML & Above,1,GK HAIR,3900,3198,"This Hair Taming System Pro Line Set Contains:
Moisturizing Dry Hair Shampoo
Moisturizing Conditioner
Argan Serum",,,2,Units,Bundle,,"Supercom Net, Gk Hair & GKHAIR LLC 4800 NW 15TH AVE SUITE E. FORT LAUDERDALE 33309 FLORIDA UNITED STATES",United States of America,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14GKHAIRGKHairSetofHairTamingSystemProLineGlobalKeratinShampoo&ConditionerwithSerum_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14GKHAIRGKHairSetofHairTamingSystemProLineGlobalKeratinShampoo&ConditionerwithSerum_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14GKHAIRGKHairSetofHairTamingSystemProLineGlobalKeratinShampoo&ConditionerwithSerum_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14GKHAIRGKHairSetofHairTamingSystemProLineGlobalKeratinShampoo&ConditionerwithSerum_4.jpg,,,,(N),(Y),(N),,,,,Colour Protection,Argan Oil,,,Gluten-Free,Serum,,,,,Normal,Normal,Regular,Shampoo and Conditioner,,,,,,,,,,,,,
EU00074794,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Sustainable Onion Hair Fall Control Shampoo With Onion & Plant Keratin 250ml,,,240-260 ML,1,Mamaearth,349,324,Onion Hair Fall Control Shampoo,,,1,Units,Single,,"Honasa Consumer Private Limited, Kapco International Ltd, Plot11, Sector3, Parwanoo, Himachal Pradesh, India-173220",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14MamaearthSustainableOnionHairFallControlShampooWithOnion&PlantKeratin250ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14MamaearthSustainableOnionHairFallControlShampooWithOnion&PlantKeratin250ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14MamaearthSustainableOnionHairFallControlShampooWithOnion&PlantKeratin250ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14MamaearthSustainableOnionHairFallControlShampooWithOnion&PlantKeratin250ml_4.jpg,,,,(N),(Y),(N),,,,,Dandruff,Onion,,,Dermatologically Tested,,,,,,Normal,Normal,Sustainable,Shampoo,,,,,,,,,,,,,
EU00074795,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Set Of 2 Onion with Moringa & Wheat Grass Plant Protein Shampoo - 200ml Each,,,200ML,1,Kalit Natures,850,680,Set Of 2 Onion with Moringa & Wheat Grass Plant Protein Shampoo - 200ml Each,,,2,Units,Bundle,,"kalit natures, Plot no 4 Ocean Biocare Pharmaceuticals, sec- 48 Fajilpur,Gurugram Haryana-122119",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14KalitNaturesSetOf2OnionwithMoringa&WheatGrassPlantProteinShampoo-200mlEach_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14KalitNaturesSetOf2OnionwithMoringa&WheatGrassPlantProteinShampoo-200mlEach_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14KalitNaturesSetOf2OnionwithMoringa&WheatGrassPlantProteinShampoo-200mlEach_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14KalitNaturesSetOf2OnionwithMoringa&WheatGrassPlantProteinShampoo-200mlEach_4.jpg,,,,(N),(Y),(N),,,,,Thinning and Hair Fall,Onion,,,Herbal,,,,,,Regular,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074796,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Xtenso Care Sulfate-free Shampoo - 250ml,,,240-260 ML,1,LOreal Professionnel,950,950,X-Tenso Care Sulfate Free Shampoo,,,1,Units,Single,,"Indiflashmart, 1. LORAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44.2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelXtensoCareSulfate-freeShampoo-250ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelXtensoCareSulfate-freeShampoo-250ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelXtensoCareSulfate-freeShampoo-250ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelXtensoCareSulfate-freeShampoo-250ml_4.jpg,,,,(N),(Y),(N),,,,,Anti-Frizz,Keratin,,,Sulfate-Free,,,,,,Normal,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074797,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Hair Fall Rescue Shampoo For Weak Hair 1l,,,600 ML & Above,1,Dove,999,549,Hair fall rescue shampoo,,,1,Units,Single,,"Truecom Retail, HindustanUnileverLimitedBDSawantMargChakalaAndheriEastMumbaiMaharashtra400099",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14DoveHairFallRescueShampooForWeakHair1l_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14DoveHairFallRescueShampooForWeakHair1l_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14DoveHairFallRescueShampooForWeakHair1l_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14DoveHairFallRescueShampooForWeakHair1l_4.jpg,,,,(N),(Y),(N),,,,,Thinning and Hair Fall,,,,Dermatologically Tested,,,,,,Normal,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074798,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Unisex Fall Repair 3x Anti-Hair Fall Shampoo with Arginine 175ml,,,190-200 ML,1,LOreal,199,155,Fall Repair 3x Anti-Hair Fall Shampoo,,,1,Units,Single,,"Omnitech Retail, Cobelsa Cosmticos, S.A Ctra, Alcal a Daganzo, Km 3,870 Polg. Ind. Banuelos 28806 Alcal de Henares Espagne",Spain,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealUnisexFallRepair3xAnti-HairFallShampoowithArginine175ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealUnisexFallRepair3xAnti-HairFallShampoowithArginine175ml_2.jpg,,,,,,(N),(Y),(N),,,,Unisex,Thinning and Hair Fall,,,,,,,,,,Regular,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074799,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Keratin Smooth Conditioner With Argan Oil 190ml,,,180-190 ML,1,TRESemme,229,171,Keratin Smooth Conditioner,,,1,Units,Single,,"RetailNet, HINDUSTAN UNILEVER LIMITED/ UNILEVER HOUSE/ B D SAWANT MARG/ CHAKALA/ ANDHERI (E)/ MUMBAI 400099",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeKeratinSmoothConditionerWithArganOil190ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeKeratinSmoothConditionerWithArganOil190ml_2.jpg,,,,,,(N),(Y),(N),,,,,Anti-Frizz,Argan Oil,,,Dermatologically Tested,Oil,,,,,Coloured Hair,Normal,Regular,Conditioner,,,,,,,,,,,,,
EU00074800,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Serie Expert Vitamino Shampoo - 250ml,,,280-300 ML,1,LOreal Professionnel,695,695,Vitamino Color Protecting Shampoo,,,1,Units,Single,,"Indiflashmart, LOreal India Pvt. Ltd. Chakan Pune- 410501",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelSerieExpertVitaminoShampoo-250ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelSerieExpertVitaminoShampoo-250ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelSerieExpertVitaminoShampoo-250ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelSerieExpertVitaminoShampoo-250ml_4.jpg,,,,(N),(Y),(N),,,,,Colour Protection,,,,,,,,,,Regular,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074801,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Set Of 2 Hair Fruits Dryness Control Conditioning Shampoo with Olives - 340ml each,,,340mlx2,1,JOY,340,221,Set Of 2 Hair Fruits Dryness Control Conditioning Shampoo with Olives & Lemon,,,2,Units,Bundle,,"JOY CREATORS LLP, RSH Global Pvt. Ltd. Plot No. 74, DIC Industrial Area, Baddi 173 205 (H.P.)",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14JOYSetOf2HairFruitsDrynessControlConditioningShampoowithOlives-340mleach_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14JOYSetOf2HairFruitsDrynessControlConditioningShampoowithOlives-340mleach_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14JOYSetOf2HairFruitsDrynessControlConditioningShampoowithOlives-340mleach_3.jpg,,,,,(N),(Y),(N),,,,,Anti-Frizz,Olives,,,Paraben-Free,,,,,,Dry Hair,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074802,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Paris Hyaluron 72H Moisture Sealing Conditioner with Hyaluronic Acid - 71.5ml,,,71.5ml,1,LOreal,115,89,Hyaluron 72H Moisture Sealing Conditioner with Hyaluronic Acid,,,1,Units,Single,,"Omnitech Retail, Pritam International Pvt. Ltd. K. No. 138, Raipur Industrial Area, Roorkee, 247667, Uttarakhand.",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisHyaluron72HMoistureSealingConditionerwithHyaluronicAcid-71.5ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisHyaluron72HMoistureSealingConditionerwithHyaluronicAcid-71.5ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisHyaluron72HMoistureSealingConditionerwithHyaluronicAcid-71.5ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisHyaluron72HMoistureSealingConditionerwithHyaluronicAcid-71.5ml_4.jpg,,,,(N),(Y),(N),,,,,Anti-Frizz,Hyaluronic Acid,,,Hyaluronic Acid,,Hyaluronic Acid,,,,Normal,Normal,Regular,Conditioner,,,,,,,,,,,,,
