Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image,Image,Image,Image,Image,Image,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Warranty,Adjustable,Fastening,Filtration,Foldable,Mask Type,Package Content,Ply,Reusable,Sustainable,Benefit,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00005921,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Women Black 2 Pcs 5 Ply Face Mask,Black,(Onesize),1,Puma,499,349,This item cannot be returned.,,,2,Units,Cotton,"Puma Sports India Pvt. Ltd.(NSCM), B.S.APPAREL, B.S.APPAREL, SHED NO.23-27 SIDCO,, TIRUPUR, India, Postal code, 641606",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaWomenBlack2Pcs5PlyFaceMask_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaWomenBlack2Pcs5PlyFaceMask_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaWomenBlack2Pcs5PlyFaceMask_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaWomenBlack2Pcs5PlyFaceMask_4.jpg,,,,,,(N),(N),(N),,,,Female,,,,,,,,,,,,(N),,Valved,(Y),Protective Outdoor Mask,Mask,5,,,,,,,,,,,,,,
EU00005922,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Women Pack of 3 Embroidered 4-Ply Reusable Pure Cotton Cloth Masks,Multicoloured,(M),1,MASQ,447,249,This item cannot be returned.,,,3,Units,Cotton,"Q-ONE, Q-ONE, Plot No. 732, Pace City-2, Sector 37, Gurugram, Haryana, India-122001",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17MASQWomenPackof3Embroidered4-PlyReusablePureCottonClothMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17MASQWomenPackof3Embroidered4-PlyReusablePureCottonClothMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17MASQWomenPackof3Embroidered4-PlyReusablePureCottonClothMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17MASQWomenPackof3Embroidered4-PlyReusablePureCottonClothMasks_4.jpg,,,,,,(N),(N),(N),,,,Female,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Cloth Mask,Mask,,,,,,Embroidered,,,,,,,,,
EU00005923,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Women Pack of 3 Embroidered 4-Ply Reusable Pure Cotton Cloth Masks,Multicoloured,(L),1,MASQ,447,249,This item cannot be returned.,,,3,Units,Cotton,"Q-ONE, Q-ONE, Plot No. 732, Pace City-2, Sector 37, Gurugram, Haryana, India-122001",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17MASQWomenPackof3Embroidered4-PlyReusablePureCottonClothMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17MASQWomenPackof3Embroidered4-PlyReusablePureCottonClothMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17MASQWomenPackof3Embroidered4-PlyReusablePureCottonClothMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17MASQWomenPackof3Embroidered4-PlyReusablePureCottonClothMasks_4.jpg,,,,,,(N),(N),(N),,,,Female,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Cloth Mask,Mask,,,,,,Embroidered,,,,,,,,,
EU00005924,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Multicoloured Outdoor Reusable 4 Layer Pack of 3 Facemask,Multicoloured,(Onesize),1,HRX by Hrithik Roshan,749,262,This item cannot be returned.,,,3,Units,Poly Cotton,"Omnitech Retail, BOOMBOLT LIFESTYLE PRIVATE LIMITED1711,4th Floor,19th main Road,Sector 2 HSR layout,Bangalore,Karnataka-560102INDIA",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexMulticolouredOutdoorReusable4LayerPackof3Facemask_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexMulticolouredOutdoorReusable4LayerPackof3Facemask_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexMulticolouredOutdoorReusable4LayerPackof3Facemask_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexMulticolouredOutdoorReusable4LayerPackof3Facemask_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,,,,,,,,,,,,,,,
EU00005925,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack of 5 Grey Bamboo Face Mask,Grey,(Onesize),1,Heelium,1649,799,This item cannot be returned.,,,5,Units,,"Heelium Sports Private Limited, Gowdown No. 1, S No. 146/5A, Aundh Rawet BRT Road, Opp. Narsimha Mandir, Tathawade, Pune-411033",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HeeliumUnisexPackof5GreyBambooFaceMask_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HeeliumUnisexPackof5GreyBambooFaceMask_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HeeliumUnisexPackof5GreyBambooFaceMask_3.jpg,,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(N),Elasticated,Unvalved,(N),Cloth Mask,Mask,2,(Y),Regular,,,,,,,,,,,,
EU00005926,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Pack of 2 Black & Pastel Blue Reusable Face Mask,"Blue,Black",(M),1,Puma,699,349,This item cannot be returned.,,,2,Units,Polyester,"Puma Sports India Pvt. Ltd.(NSCM), B.S.APPAREL, B.S.APPAREL, SHED NO.23-27 SIDCO,, TIRUPUR, India, Postal code, 641606",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Cloth Mask,Mask,3,(Y),Regular,,,,,,,,,,,,
EU00005927,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Pack of 2 Black & Pastel Blue Reusable Face Mask,"Blue,Black",(L),1,Puma,699,349,This item cannot be returned.,,,2,Units,Polyester,"Puma Sports India Pvt. Ltd.(NSCM), BVK EXPORTS INDIAPRIVATE LIMITED, SHED NO.39, 40 TEKIC TEA NAGAR, MUDALIPALAYAM TIRUPUR, TAMILNADU, 641606 TIRUPUR, India",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_4.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_5.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaPackof2Black&PastelBlueReusableFaceMask_6.jpg,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Cloth Mask,Mask,3,(Y),Regular,,,,,,,,,,,,
EU00005928,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack Of 2 Grey Solid 7-Ply Protective Outdoor Masks,Grey,(M),1,Jockey,328,328,This item cannot be returned.,,,2,Units,Cotton,"Page Industries Ltd, PAGE INDUSTRIES LIMITEDUmiya Business Bay-Tower-1, 7th Floor, Cessna Business Park, Kadubeesanahalli, Varthur Hobli, Bengaluru- 560103. CIN: L18101KA1994PLC016554",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2GreySolid7-PlyProtectiveOutdoorMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2GreySolid7-PlyProtectiveOutdoorMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2GreySolid7-PlyProtectiveOutdoorMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2GreySolid7-PlyProtectiveOutdoorMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,7,(Y),Regular,,,Solid,,,,,,,,,
EU00005929,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack Of 2 Grey Solid 7-Ply Protective Outdoor Masks,Grey,(L),1,Jockey,328,328,This item cannot be returned.,,,2,Units,Cotton,"Page Industries Ltd, PAGE INDUSTRIES LIMITEDUmiya Business Bay-Tower-1, 7th Floor, Cessna Business Park, Kadubeesanahalli, Varthur Hobli, Bengaluru- 560103. CIN: L18101KA1994PLC016554",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2GreySolid7-PlyProtectiveOutdoorMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2GreySolid7-PlyProtectiveOutdoorMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2GreySolid7-PlyProtectiveOutdoorMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2GreySolid7-PlyProtectiveOutdoorMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,7,(Y),Regular,,,Solid,,,,,,,,,
EU00005930,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack of 3 Navy Protekt-X Reusable 4-Layer Face Masks,Multicoloured,(Onesize),1,HRX by Hrithik Roshan,799,279,This item cannot be returned.,,,3,Units,Polyester,"Omnitech Retail, CREA MARKETING SERVICES PVT LTD, HR-29, C5A, Ground Floor, Pul Prahaladpur, DELHI-110044",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3NavyProtekt-XReusable4-LayerFaceMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3NavyProtekt-XReusable4-LayerFaceMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3NavyProtekt-XReusable4-LayerFaceMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3NavyProtekt-XReusable4-LayerFaceMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,,,,,,,,,,,,,,,
