Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Colour Shade Name,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),images.img1,images.img2,images.img3,images.img4,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Features,Hex Code,Pigmentation,Sustainable,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00117127,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Set of 5 Long Lasting & Creme Matte Lipstick - 3.5 g Each,Nude,Cornell Red 04-Purple Peach 22-Deep Rose 23-Wiine Pink 24-Nude 25,15-20 ML,1,MI FASHION,995,599,"Set of 5 Long Lasting & Creme Matte Lipstick - 3.5 g Each - Cornell Red 04, Purple Peach 22, Deep Rose 23, Wiine Pink 24, Nude 25",,,5,Units,,"Global Hub, Viva Cosmetics, Building No C 1 to 8, Radheshyam Ind Complex,Asangaon,Thane,Maharashtra -421601",India,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MIFASHIONSetof5LongLasting&CremeMatteLipstick-3.5gEach_1.jpg,,,,,,,(Y),(Y),(N),,,,,,"Rose,Peach",,,Cruelty-Free,Bullet,,,,,Long Lasting,,,,,,Creme,Long Lasting,,Full Coverage,Regular,"Creme,Matte",,,,,
EU00117128,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Lip Satin Matte Lipstick - Lush Pink,Pink,Lush Pink,3-3.5 ML,1,SWISS BEAUTY,249,199,Lip Satin Matte Lipstick,,,1,Units,,"Supercom Net, YIWU RETIN-A IMPORT AND EXPORT CO.,LTD Add :ROOM 601 UNIT 4 XIANGGANGCHENG 4 DISTRICT CHOUCHENG STREET YIWU ZHEJIANG",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SWISSBEAUTYLipSatinMatteLipstick-LushPink_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SWISSBEAUTYLipSatinMatteLipstick-LushPink_2.jpg,,,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Crayon,,,,,,,,,,,Matte,Easy Application,,Full Coverage,Regular,"Satin,Matte",,,,,
EU00117129,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Lip Comfort Velvet Matte Lipstick 4.2g,Red,Red matte,4-5 ML,1,Seven Seas,249,199,Lip Comfort Velvet Matte Lipstick 4.2g,,,1,Units,,"SEVEN SEAS BEAUTY PRODUCT, Seven Seas Beauty Product, B-68 First Floor, GT Karnal Road, Industrial Area, Near Bikanerwala, Delhi-110033",India,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SevenSeasLipComfortVelvetMatteLipstick4.2g_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SevenSeasLipComfortVelvetMatteLipstick4.2g_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SevenSeasLipComfortVelvetMatteLipstick4.2g_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SevenSeasLipComfortVelvetMatteLipstick4.2g_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Paraben-Free,Bullet,,,,,,,,,,,Matte,Transfer Proof,,Full Coverage,Regular,Matte,,,,,
EU00117130,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Plum Matte Non Transfer Water Proof Liquid Lipstick 7g - Deep Maroon 08,Maroon,Deep Maroon 08,6-8 ML,1,Colors Queen,199,199,Plum Matte Non Transfer Water Proof Liquid Lipstick 7g - Deep Maroon 08,,,1,Units,,"D.N. Enterprises, Ningbo Global Sourcing Limited, 606 Chuangyetianxia Building, Jiangdong District Ningbo, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ColorsQueenPlumMatteNonTransferWaterProofLiquidLipstick7g-DeepMaroon08_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ColorsQueenPlumMatteNonTransferWaterProofLiquidLipstick7g-DeepMaroon08_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ColorsQueenPlumMatteNonTransferWaterProofLiquidLipstick7g-DeepMaroon08_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ColorsQueenPlumMatteNonTransferWaterProofLiquidLipstick7g-DeepMaroon08_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Liquid,,,,,,,,,,,Matte,Long Lasting,,Full Coverage,Regular,Matte,,,,,
EU00117131,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Soft Matte Lip Cream Liquid Lipstick 6 ml - Blush Red 19,Purple,Blush Red,5-6 ML,1,SWISS BEAUTY,249,199,"Soft Matte Lip Cream Liquid Lipstick

Shade name 
Blush Red

Shade number
19",,,1,Units,,"Supercom Net, YIWU RETIN-A IMPORT AND EXPORT CO.,LTD Add :ROOM 601 UNIT 4 XIANGGANGCHENG 4 DISTRICT CHOUCHENG STREET YIWU ZHEJIANG",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SWISSBEAUTYSoftMatteLipCreamLiquidLipstick6ml-BlushRed19_1.jpg,,,,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Liquid,,,,,,,,,,,Matte,Long Lasting,,Medium Coverage,Regular,Matte,,,,,
EU00117132,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Power Stay Set Of 3 Long Last Waterproof Matte Liquid Lipstick 4 ml Each,Nude,Cocoa Brown 16 - Sandy Nude 21 - Peppy Red 22,4-5 ML,1,FORFOR,747,448,Power Stay Set Of 3 Long Last Matte Liquid Lipstick 4 ml Each,,,3,Units,,"HARPREET SINGH, GRD Cosmetics Industries, Bawana-110039",India,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10FORFORPowerStaySetOf3LongLastWaterproofMatteLiquidLipstick4mlEach_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10FORFORPowerStaySetOf3LongLastWaterproofMatteLiquidLipstick4mlEach_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10FORFORPowerStaySetOf3LongLastWaterproofMatteLiquidLipstick4mlEach_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10FORFORPowerStaySetOf3LongLastWaterproofMatteLiquidLipstick4mlEach_4.jpg,,,,(Y),(Y),(N),,,,,Waterproof,,,,Cruelty-Free,Liquid,Waterproof,,,,Waterproof,,,,,,Matte,Transfer Proof,,Full Coverage,Regular,Matte,,,,,
EU00117133,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Plum Matte Non-Transfer Waterproof Liquid Lipstick 7g - Cranberry 14,Maroon,Cranberry 14,6-8 ML,1,Colors Queen,199,199,Plum Matte Non-Transfer Waterproof Liquid Lipstick - Cranberry 14,,,1,Units,,"D.N. Enterprises, Ningbo Global Sourcing Limited, 606 Chuangyetianxia Building, Jiangdong District Ningbo, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ColorsQueenPlumMatteNon-TransferWaterproofLiquidLipstick7g-Cranberry14_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ColorsQueenPlumMatteNon-TransferWaterproofLiquidLipstick7g-Cranberry14_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ColorsQueenPlumMatteNon-TransferWaterproofLiquidLipstick7g-Cranberry14_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ColorsQueenPlumMatteNon-TransferWaterproofLiquidLipstick7g-Cranberry14_4.jpg,,,,(Y),(Y),(N),,,,,Waterproof,,,,Waterproof,Liquid,Waterproof,,,,Waterproof,,,,,,Matte,Transfer Proof,,Full Coverage,Regular,Matte,,,,,
EU00117134,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Lip Comfort Lightweight Matte Lipstick 4.2 g - Crowns of Thorns I,Pink,Crown of Thorns I,4-5 ML,1,Seven Seas,249,199,Lip Comfort Lightweight Matte Lipstick 4.2 g - Crowns of Thorns I,,,1,Units,,"SEVEN SEAS BEAUTY PRODUCT, Seven Seas Beauty Product, B-68 First Floor, GT Karnal Road, Industrial Area, Near Bikanerwala, Delhi-110033",India,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SevenSeasLipComfortLightweightMatteLipstick4.2g-CrownsofThornsI_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SevenSeasLipComfortLightweightMatteLipstick4.2g-CrownsofThornsI_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SevenSeasLipComfortLightweightMatteLipstick4.2g-CrownsofThornsI_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10SevenSeasLipComfortLightweightMatteLipstick4.2g-CrownsofThornsI_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Paraben-Free,Bullet,,,,,,,,,,,Matte,High Color Payoff,,Full Coverage,Regular,Matte,,,,,
EU00117135,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Paris Deepest HD Matte Lipstick with Vitamin E & Jojoba Oil 1.2 g - Mocha Mauve,Maroon,Mocha Mauve,0-2 ML,1,Belora,699,454,Deepest HD Matte Lipstick with Vitamin E & Jojoba Oil - Mocha Mauve,,,1,Units,,"CHILLPILL VENTURE PRIVATE LIMITED, Viva Cosmetics and Address - C-1/1 & 2, Radheshyam Indl. Complex, Asangaon, Shahapur, Thane - 421601",India,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10BeloraParisDeepestHDMatteLipstickwithVitaminE&JojobaOil1.2g-MochaMauve_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10BeloraParisDeepestHDMatteLipstickwithVitaminE&JojobaOil1.2g-MochaMauve_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10BeloraParisDeepestHDMatteLipstickwithVitaminE&JojobaOil1.2g-MochaMauve_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10BeloraParisDeepestHDMatteLipstickwithVitaminE&JojobaOil1.2g-MochaMauve_4.jpg,,,,(Y),(Y),(N),,,,,,"Vitamin E,Jojoba Oil",,,Vegan,Bullet,Vitamin E,,,,,,,,,,Matte,Hydrating,,Full Coverage,Regular,Matte,,,,,
EU00117136,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Professional Make-Up Set of 2 Matte Creamy Lipsticks - Orchid 33 & Chicful 41,Nude Pink,Shade 1- Orchid 33 - Shade 2- Chicful 41,15-20 ML,1,MISS ROSE,598,448,Professional Make-Up Set of 2 Matte Creamy Lipsticks - Orchid 33 & Chicful 41,,,2,Units,,"Glide Route Ventures LLP, Yiwu meidai cosmetics co. ltd Yiwu suxi town, yiwu, zhejiang province industrial park east star of 8 # China- 322000",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MISSROSEProfessionalMake-UpSetof2MatteCreamyLipsticks-Orchid33&Chicful41_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MISSROSEProfessionalMake-UpSetof2MatteCreamyLipsticks-Orchid33&Chicful41_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MISSROSEProfessionalMake-UpSetof2MatteCreamyLipsticks-Orchid33&Chicful41_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MISSROSEProfessionalMake-UpSetof2MatteCreamyLipsticks-Orchid33&Chicful41_4.jpg,,,,(Y),(Y),(N),,,,,Make Up,,,,Fragrance-Free,Bullet,,,,,,,,,,,Matte,Waterproof,,Full Coverage,Regular,Matte,,,,,
EU00117137,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,The Natural Beauty Set Of 2 Matte Lipsticks - Orange Crush 173 & Signal Red 196,Orange,"Orange Crush 173, Signal Red 196",3-3.5 ML,1,krayons,338,270,The Natural Beauty Set Of 2 Matte Lipsticks,,,2,Units,,"ONELOOK ENTERPRISE, GRD Cosmetics,M-96, Sector 2, D. S. I. I. D. C. Industrial Area Bawana, Delhi-110039, India",India,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10krayonsTheNaturalBeautySetOf2MatteLipsticks-OrangeCrush173&SignalRed196_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10krayonsTheNaturalBeautySetOf2MatteLipsticks-OrangeCrush173&SignalRed196_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10krayonsTheNaturalBeautySetOf2MatteLipsticks-OrangeCrush173&SignalRed196_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10krayonsTheNaturalBeautySetOf2MatteLipsticks-OrangeCrush173&SignalRed196_4.jpg,,,,(Y),(Y),(N),,,,,,Orange,,,Cruelty-Free,Bullet,Natural,,,,,,,,,,Matte,Smudge Proof,,Full Coverage,Regular,"Natural,Matte",,,,,
