Eunimart Ref ID,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available,Image,Image.1,Image.2,Image.3,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Top Note,Middle Note,Product Code,Product Link,Strength,Sustainable,Type,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00004698,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Rain Forest Premium & Natural Body Mist Spray - 100ml,,100-150 ML,1,Wild Nectar Organic,649,649,Rain Forest Premium & Natural Body Mist Spray - 100ml,,,1,Units,,"EEF NATURALS, RI AYURVEDA RESEARCH LABS,36/3A & 36/3B, Dilshad Garden, Ind. Area, G.T Road New Delhi - 110095",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15WildNectarOrganicRainForestPremium&NaturalBodyMistSpray-100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15WildNectarOrganicRainForestPremium&NaturalBodyMistSpray-100ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15WildNectarOrganicRainForestPremium&NaturalBodyMistSpray-100ml_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Paraben-Free,Mist,Natural,,,Green,,Green,Green,19771800,https://www.myntra.com/perfume-and-body-mist/wild-nectar-organic/wild-nectar-organic-rain-forest-premium--natural-body-mist-spray---100ml/19771800/buy,Mild,Regular,,,,,,,,Natural,Natural,,,,,
EU00004699,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Rainbow Waves Love Always Wins Fine Fragrance Mist - 236ml,,200-300 ML,1,Bath & Body Works,1599,799,Rainbow Waves Love Always Wins Fine Fragrance Mist,,,1,Units,,"Supercom Net, M/s beautyAvenues, LLC, 7 Limited Parkway, Reynoldsburg, Ohio 43068, United States of America",United States of America,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Bath&BodyWorksRainbowWavesLoveAlwaysWinsFineFragranceMist-236ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Bath&BodyWorksRainbowWavesLoveAlwaysWinsFineFragranceMist-236ml_2.jpg,,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Spray,,,,Fresh,Fine,Fresh,Fruity,19965006,https://www.myntra.com/perfume-and-body-mist/bath--body-works/bath--body-works-rainbow-waves-love-always-wins-fine-fragrance-mist---236ml/19965006/buy,Mild,Regular,,,,,,,,,,,,,,
EU00004700,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Raspberry Burst Body Mist 100 ml,,75-100 ML,1,Body Cupid,299,284,Raspberry Burst Body Mist,,,1,Units,,"Body Cupid Cosmetics Private Limited, Eurolux Fragrances (P)Ltd, Plot no.284,Sector 7,IMT Manesar, Gurgaon 122050, Haryana , India",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15BodyCupidRaspberryBurstBodyMist100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15BodyCupidRaspberryBurstBodyMist100ml_2.jpg,,,,,,(Y),(Y),(N),,,,,,,,,,Mist,,,,Fruity,,Fruity,Fruity,17218074,https://www.myntra.com/perfume-and-body-mist/body-cupid/body-cupid-raspberry-burst-body-mist-100-ml/17218074/buy,Mild,Regular,Body Mist,,,,,,,,,,,,,
EU00004701,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Rayaanat Al Al Musk Eau de Parfum - 100 ml,,75-100 ML,1,RIHANAH,1400,1260,Rayaanat Al Al Musk Eau de Parfum - 100 ml,,,1,Units,,"Shree Vallabh Traders, FREEDOM FRAGRANCE & PLOT NO; 287-288-289, S E Z, SACHIN SURAT Gujarat.394230",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15RIHANAHRayaanatAlAlMuskEaudeParfum-100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15RIHANAHRayaanatAlAlMuskEaudeParfum-100ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15RIHANAHRayaanatAlAlMuskEaudeParfum-100ml_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Daytime Fragrance,Liquid,,,,Fresh,,Fresh,Fresh,16630444,https://www.myntra.com/perfume-and-body-mist/rihanah/rihanah-rayaanat-al-al-musk-eau-de-parfum---100-ml/16630444/buy,Mild,Regular,,,,,,,,,,,,,,
EU00004702,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Raza Attar 5ml,,0-25 ML,1,SIBTAIN,799,799,Raza Attar 5ml,,,1,Units,,"RAZA ENTERPRISES, 186,Ram Gali Number2,Raja Park,",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15SIBTAINRazaAttar5ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15SIBTAINRazaAttar5ml_2.jpg,,,,,,(Y),(Y),(N),,,,,,,,,Night Time Fragrance,Liquid,,,,Fresh,,Woody,Woody,20220344,https://www.myntra.com/perfume-and-body-mist/sibtain/sibtain-raza-attar-5ml/20220344/buy,Mild,Regular,,,,,,,,,,,,,,
EU00004703,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Red Berries & Rose Eau De Toilette 100 ml,Red,100-150 ML,1,Marks & Spencer,1299,1299,Red Berries & Rose Eau De Toilette 100ml,,,1,Units,,"MARKS AND SPENCER RELIANCE INDIA PRIVATE LIMITED, REBUL COZMETIK SAN. V.E T.I.C A.SIMRAHAR MAHALLESI ABDULLAH GUL CADDESI NO 137 IMRAHAR KOYU-ARNAVUTKOY ISTANBUL 34418",Turkey,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Marks&SpencerRedBerries&RoseEauDeToilette100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Marks&SpencerRedBerries&RoseEauDeToilette100ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Marks&SpencerRedBerries&RoseEauDeToilette100ml_3.jpg,,,,,(Y),(Y),(N),,,,,,Rose,,,,Liquid,,,,Floral,,Floral,Fresh,20488208,https://www.myntra.com/perfume-and-body-mist/marks--spencer/marks--spencer-red-berries--rose-eau-de-toilette-100-ml/20488208/buy,Strong,Regular,Eau de Toilette,,,,,,,,,,,,,
EU00004704,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Red Body Perfume 100ml,Red,100ml,1,aco PERFUMES,330,330,Red Body Perfume 100ml,,,1,Units,,"A A ATTARWALA & COMPANY PRIVATE LIMITED, AA ATTARWALA PVT LTD,82/84 GR FLOOR CLARE HOUSE CLARE ROAD NAGPADA,400083",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESRedBodyPerfume100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESRedBodyPerfume100ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESRedBodyPerfume100ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESRedBodyPerfume100ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Cruelty-Free,Spray,,,,Fresh,,Woody,Woody,16954730,https://www.myntra.com/perfume-and-body-mist/aco-perfumes/aco-perfumes-red-body-perfume-60ml/16954724/buy,Strong,Regular,,,,,,,,,,,,,,
EU00004705,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Red Body Perfume 60ml,Red,50-75 ML,1,aco PERFUMES,260,260,Red Body Perfume 60ml,,,1,Units,,"A A ATTARWALA & COMPANY PRIVATE LIMITED, AA ATTARWALA PVT LTD,82/84 GR FLOOR CLARE HOUSE CLARE ROAD NAGPADA,400058",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESRedBodyPerfume60ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESRedBodyPerfume60ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESRedBodyPerfume60ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESRedBodyPerfume60ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Cruelty-Free,Spray,,,,Fresh,,Woody,Woody,16954724,https://www.myntra.com/perfume-and-body-mist/aco-perfumes/aco-perfumes-red-body-perfume-60ml/16954724/buy,Strong,Regular,,,,,,,,,,,,,,
EU00004706,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Red Noir Eau De Parfum - 100ml,Red,75-100 ML,1,Aphro,1599,799,Red Noir Eau De Parfum - 100ml,,,1,Units,,"Aphro India, APHRO INDIA, 902, Safal Sameep, B/H SOBO Center, South Bopal, Ahmedabad - 380058, Gujarat, India",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15AphroRedNoirEauDeParfum-100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15AphroRedNoirEauDeParfum-100ml_2.jpg,,,,,,(Y),(Y),(N),,,,,,,,,Cruelty-Free,Spray,,,,Woody,,Warm and Spicy,Woody,21468062,https://www.myntra.com/perfume-and-body-mist/aphro/aphro-red-noir-eau-de-parfum---100ml/21468062/buy,Strong,Regular,Eau de Parfum,,,,,,,,,,,,,
EU00004707,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Red Perfume and Body Mist,Red,50-75 ML,1,JOHN PHILLIPS,1000,499,XX-Zone Gym & Sporty Eau De French Perfume,,,1,Units,,"PIONEER HERBALS, Pioneer Herbals, Sr.No 175/2-B, NEAR WELLKNOWN TEXTILE Athiawad, Dabhel, Daman 396215 (U.T) INDIA",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JOHNPHILLIPSRedPerfumeandBodyMist_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JOHNPHILLIPSRedPerfumeandBodyMist_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JOHNPHILLIPSRedPerfumeandBodyMist_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JOHNPHILLIPSRedPerfumeandBodyMist_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Daytime Fragrance,Spray,,,,Woody,,Warm and Spicy,Floral,18702840,https://www.myntra.com/perfume-and-body-mist/john-phillips/john-phillips-red-perfume-and-body-mist/18702840/buy,Strong,Regular,,,,,,,,,,,,,,
